id,pass_id,station,event,timestamp
1,1,Bathroom,in,2025-05-20 16:12:45.248238
2,1,Bathroom,out,2025-05-20 16:13:20.072350
3,2,Bathroom,in,2025-05-20 16:52:53.216964
4,2,Bathroom,out,2025-05-20 16:52:58.541365
5,2,115,in,2025-05-20 16:53:22.488114
6,3,Bathroom,in,2025-05-20 19:02:29.568967
7,3,Bathroom,out,2025-05-20 19:02:35.206641
8,3,115,in,2025-05-20 19:02:44.391332
9,4,Bathroom,in,2025-05-20 19:07:46.035886
10,4,Bathroom,out,2025-05-20 19:08:17.324037
11,4,Bathroom,in,2025-05-20 19:08:26.465041
12,4,Bathroom,out,2025-05-20 19:08:29.151251
13,4,115,in,2025-05-20 19:08:39.407415
14,6,Bathroom,in,2025-05-20 19:17:15.336219
15,8,Bathroom,in,2025-05-20 19:35:59.928825
16,8,Bathroom,out,2025-05-20 19:36:05.852050
17,8,115,in,2025-05-20 19:36:25.183396
18,9,Bathroom,in,2025-05-20 19:42:34.154688
19,10,Bathroom,in,2025-05-20 19:47:49.416146
20,10,Bathroom,out,2025-05-20 19:48:00.445951
21,10,115,in,2025-05-20 19:48:16.853052
