id,date,student_id,checkout_at,checkin_at,period,origin_room,room_in,is_override,note,status,total_pass_time
1,2025-05-20,600,2025-05-20 12:11:56.572802,2025-05-20 12:14:05.010909,6/7,115,,0,,returned,128
2,2025-05-20,600,2025-05-20 12:52:28.251402,2025-05-20 12:53:22.519167,9,115,115,0,,returned,54
3,2025-05-20,600,2025-05-20 15:02:07.665038,2025-05-20 15:02:44.421110,12,115,115,0,,returned,36
4,2025-05-20,600,2025-05-20 15:07:22.049802,2025-05-20 15:08:39.439238,12,115,115,0,,returned,77
5,2025-05-20,600,2025-05-20 15:15:32.468896,2025-05-20 15:16:08.571410,12,115,,0,,returned,36
6,2025-05-20,600,2025-05-20 15:16:55.339907,2025-05-20 15:17:36.451477,12,115,Bathroom,0,,returned,41
7,2025-05-20,600,2025-05-20 15:24:29.449470,2025-05-20 15:26:55.581240,12,115,,0,,returned,146
8,2025-05-20,600,2025-05-20 15:35:43.034160,2025-05-20 15:36:25.247135,12,115,115,0,,returned,42
9,2025-05-20,600,2025-05-20 15:42:27.118228,2025-05-20 15:43:13.722867,12,115,Bathroom,0,,returned,46
10,2025-05-20,600,2025-05-20 15:47:43.026822,2025-05-20 15:48:16.879716,12,115,115,0,,returned,33
